Date;Cap_Mercado
Apr 07, 2021;210017482120
Apr 06, 2021;227170938418
Apr 05, 2021;221599925071
Apr 04, 2021;217268459228
Apr 03, 2021;213959978186
Apr 02, 2021;218230994541
Apr 01, 2021;214029752774
Mar 31, 2021;220103860364
Mar 30, 2021;224153300090
Mar 29, 2021;221063770942
Mar 28, 2021;219048686700
Mar 27, 2021;216373494049
Mar 26, 2021;219107739499
Mar 25, 2021;197829296587
Mar 24, 2021;189622867756
Mar 23, 2021;197282150071
Mar 22, 2021;194681879068
Mar 21, 2021;208601085431
Mar 20, 2021;211653647421
Mar 19, 2021;231326553268
Mar 18, 2021;221057642189
Mar 17, 2021;247751557100
Mar 16, 2021;223020606854
Mar 15, 2021;182159471657
Mar 14, 2021;187905031189
Mar 13, 2021;195739558752
Mar 12, 2021;183795700915
Mar 11, 2021;203841990555
Mar 10, 2021;210417716156
Mar 09, 2021;224373111369
Mar 08, 2021;203344541824
Mar 07, 2021;206069882436
Mar 06, 2021;205641716908
Mar 05, 2021;211674341486
Mar 04, 2021;200151801464
Mar 03, 2021;220630823639
Mar 02, 2021;220921908602
Mar 01, 2021;231424121448
Feb 28, 2021;227870458941
Feb 27, 2021;230797318636
Feb 26, 2021;213573018484
Feb 25, 2021;181519938400
Feb 24, 2021;178034164526
Feb 23, 2021;162361608865
Feb 22, 2021;184094390849
Feb 21, 2021;184302002721
Feb 20, 2021;188053850417
Feb 19, 2021;156642732692
Feb 18, 2021;153900073997
Feb 17, 2021;148877271671
Feb 16, 2021;145494322834
Feb 15, 2021;143860779922
Feb 14, 2021;141748729244
Feb 13, 2021;151325011709
Feb 12, 2021;154549476165
Feb 11, 2021;155471345020
Feb 10, 2021;155675176495
Feb 09, 2021;117451733150
Feb 08, 2021;114076547065
Feb 07, 2021;110826339298
Feb 06, 2021;104918998927
Feb 05, 2021;90821947198
Feb 04, 2021;73464564313
Feb 03, 2021;73729257431
Feb 02, 2021;72034391739
Feb 01, 2021;68323828317
Jan 31, 2021;58613881240
Jan 30, 2021;61624759542
Jan 29, 2021;58929351081
Jan 28, 2021;58313722981
Jan 27, 2021;52174163337
Jan 26, 2021;58554583627
Jan 25, 2021;58497593360
Jan 24, 2021;60193418450
Jan 23, 2021;58792251935
Jan 22, 2021;58197414578
Jan 21, 2021;51073087321
Jan 20, 2021;62573748777
Jan 19, 2021;60827926060
Jan 18, 2021;61141293397
Jan 17, 2021;62555613554
Jan 16, 2021;58041004421
Jan 15, 2021;48919431441
Jan 14, 2021;51172449976
Jan 13, 2021;51936352301
Jan 12, 2021;49023173861
Jan 11, 2021;46449521138
Jan 10, 2021;51371326874
Jan 09, 2021;56128379229
Jan 08, 2021;51445221513
Jan 07, 2021;49599900106
Jan 06, 2021;54583190666
Jan 05, 2021;42568811874
Jan 04, 2021;36421205439
Jan 03, 2021;33123064290
Jan 02, 2021;28667852979
Jan 01, 2021;28334058493
Dec 31, 2020;29312746752
Dec 30, 2020;29832697744
Dec 29, 2020;31370255422
Dec 28, 2020;28652927134
Dec 27, 2020;25063871159
Dec 26, 2020;25615993462
Dec 25, 2020;25573801559
Dec 24, 2020;24813675174
Dec 23, 2020;21897576974
Dec 22, 2020;24892802845
Dec 21, 2020;24236761220
Dec 20, 2020;25716407938
Dec 19, 2020;26149031906
Dec 18, 2020;25966764923
Dec 17, 2020;25858499338
Dec 16, 2020;26501221123
Dec 15, 2020;24576318389
Dec 14, 2020;24907506158
Dec 13, 2020;24268156563
Dec 12, 2020;22770052198
Dec 11, 2020;21803656292
Dec 10, 2020;22845304657
Dec 09, 2020;23608530574
Dec 08, 2020;22358774329
Dec 07, 2020;24727372682
Dec 06, 2020;25488915736
Dec 05, 2020;25617443656
Dec 04, 2020;23764563956
Dec 03, 2020;26658474724
Dec 02, 2020;25683261455
Dec 01, 2020;25879185077
Nov 30, 2020;28493238635
Nov 29, 2020;27706776171
Nov 28, 2020;27399493023
Nov 27, 2020;23417348810
Nov 26, 2020;22907453562
Nov 25, 2020;25943362407
Nov 24, 2020;28159217988
Nov 23, 2020;25697157810
Nov 22, 2020;24231155258
Nov 21, 2020;22253431151
Nov 20, 2020;19516299691
Nov 19, 2020;17664414570
Nov 18, 2020;17641716840
Nov 17, 2020;18470923450
Nov 16, 2020;17665324144
Nov 15, 2020;17072949954
Nov 14, 2020;17696295200
Nov 13, 2020;18066748338
Nov 12, 2020;17534643086
Nov 11, 2020;17853341193
Nov 10, 2020;17728670649
Nov 09, 2020;17581892671
Nov 08, 2020;17796356742
Nov 07, 2020;16921414322
Nov 06, 2020;18755323207
Nov 05, 2020;17093057404
Nov 04, 2020;17082582173
Nov 03, 2020;16694481063
Nov 02, 2020;16453132863
Nov 01, 2020;17545416895
Oct 31, 2020;16626858719
Oct 30, 2020;16786758484
Oct 29, 2020;17051720573
Oct 28, 2020;17572973342
Oct 27, 2020;17992930559
Oct 26, 2020;18024170780
Oct 25, 2020;18593163855
Oct 24, 2020;18894650131
Oct 23, 2020;18807054036
Oct 22, 2020;19297241447
Oct 21, 2020;18519765807
Oct 20, 2020;17878835593
Oct 19, 2020;19088481202
Oct 18, 2020;18871893689
Oct 17, 2020;18646138880
Oct 16, 2020;18170802445
Oct 15, 2020;18549871820
Oct 14, 2020;18593845534
Oct 13, 2020;18732848314
Oct 12, 2020;18919317782
Oct 11, 2020;18331666237
Oct 10, 2020;18071386910
Oct 09, 2020;17757804872
Oct 08, 2020;16789954446
Oct 07, 2020;16328811165
Oct 06, 2020;16097533377
Oct 05, 2020;17255187960
Oct 04, 2020;17035855926
Oct 03, 2020;16516770875
Oct 02, 2020;16315595788
Oct 01, 2020;17083923121
Sep 30, 2020;17708609266
Sep 29, 2020;17822929952
Sep 28, 2020;17414310629
Sep 27, 2020;17525424299
Sep 26, 2020;16535115877
Sep 25, 2020;16601855148
Sep 24, 2020;14413406214
Sep 23, 2020;13067978026
Sep 22, 2020;13772395179
Sep 21, 2020;13507428627
Sep 20, 2020;15001148089
Sep 19, 2020;15374205103
Sep 18, 2020;14847453612
Sep 17, 2020;15353908734
Sep 16, 2020;15043935216
Sep 15, 2020;15329036980
Sep 14, 2020;13355284066
Sep 13, 2020;13078017156
Sep 12, 2020;13456113647
Sep 11, 2020;13382672334
Sep 10, 2020;13372909192
Sep 09, 2020;12976680823
Sep 08, 2020;12505862293
Sep 07, 2020;12836142625
Sep 06, 2020;12793676517
Sep 05, 2020;12362513614
Sep 04, 2020;14055018104
Sep 03, 2020;13313506704
Sep 02, 2020;16182626221
Sep 01, 2020;17859683596
Aug 31, 2020;17152942329
Aug 30, 2020;16415923971
Aug 29, 2020;16314487423
Aug 28, 2020;15806459004
Aug 27, 2020;15534088210
Aug 26, 2020;16467339685
Aug 25, 2020;16481957917
Aug 24, 2020;18152783050
Aug 23, 2020;17717876655
Aug 22, 2020;18254175792
Aug 21, 2020;17831637008
Aug 20, 2020;19257097281
Aug 19, 2020;18328589477
Aug 18, 2020;19632560107
Aug 17, 2020;19824971486
Aug 16, 2020;19466779240
Aug 15, 2020;19443227574
Aug 14, 2020;19255180461
Aug 13, 2020;19909545179
Aug 12, 2020;19172134262
Aug 11, 2020;19532236247
Aug 10, 2020;20284549600
Aug 09, 2020;20480028168
Aug 08, 2020;20551274173
Aug 07, 2020;19244834046
Aug 06, 2020;19761646766
Aug 05, 2020;19577486984
Aug 04, 2020;19727490623
Aug 03, 2020;18598181034
Aug 02, 2020;18077591765
Aug 01, 2020;19440903990
Jul 31, 2020;18554821777
Jul 30, 2020;18845985244
Jul 29, 2020;18687833609
Jul 28, 2020;19820687415
Jul 27, 2020;18821811322
Jul 26, 2020;20085293071
Jul 25, 2020;19470986998
Jul 24, 2020;16471229412
Jul 23, 2020;16430098311
Jul 22, 2020;16613478268
Jul 21, 2020;16990766759
Jul 20, 2020;16461505712
Jul 19, 2020;17278086670
Jul 18, 2020;17105715869
Jul 17, 2020;16930917349
Jul 16, 2020;17528362371
Jul 15, 2020;18146063303
Jul 14, 2020;18486228613
Jul 13, 2020;17141515828
Jul 12, 2020;17514936327
Jul 11, 2020;17298150933
Jul 10, 2020;16377578634
Jul 09, 2020;17221671006
Jul 08, 2020;18117828681
Jul 07, 2020;16325367337
Jul 06, 2020;14308805309
Jul 05, 2020;13534178914
Jul 04, 2020;13774183089
Jul 03, 2020;13416806800
Jul 02, 2020;13005916223
Jul 01, 2020;13590616695
Jun 30, 2020;11645650816
Jun 29, 2020;11406316986
Jun 28, 2020;11420016522
Jun 27, 2020;11034585408
Jun 26, 2020;11197993671
Jun 25, 2020;11327946995
Jun 24, 2020;11032333879
Jun 23, 2020;11298203276
Jun 22, 2020;11369888069
Jun 21, 2020;10806922064
Jun 20, 2020;10925800513
Jun 19, 2020;11099268448
Jun 18, 2020;11141131049
Jun 17, 2020;11345343417
Jun 16, 2020;10570468236
Jun 15, 2020;10898525129
Jun 14, 2020;10047321409
Jun 13, 2020;10345853771
Jun 12, 2020;10264598703
Jun 11, 2020;9718540214
Jun 10, 2020;10611948182
Jun 09, 2020;10429907541
Jun 08, 2020;11116763515
Jun 07, 2020;11155790608
Jun 06, 2020;11074879363
Jun 05, 2020;11338809986
Jun 04, 2020;11683615846
Jun 03, 2020;11520026280
Jun 02, 2020;10919245464
Jun 01, 2020;11230155472
May 31, 2020;10284238434
May 30, 2020;10644654088
May 29, 2020;9060561922
May 28, 2020;8827807613
May 27, 2020;7648937089
May 26, 2020;7542623924
May 25, 2020;7675451428
May 24, 2020;7547826824
May 23, 2020;7932138781
May 22, 2020;8039797465
May 21, 2020;7712621710
May 20, 2020;8488423869
May 19, 2020;8372420735
May 18, 2020;8234211306
May 17, 2020;7796297960
May 16, 2020;7733765784
May 15, 2020;7602756194
May 14, 2020;7768606480
May 13, 2020;7855549692
May 12, 2020;7606504467
May 11, 2020;7149874299
May 10, 2020;7085812771
May 09, 2020;7689231110
May 08, 2020;7909158617
May 07, 2020;7572375735
May 06, 2020;7199624476
May 05, 2020;7092226569
May 04, 2020;7065026275
May 03, 2020;6961214562
May 02, 2020;7257773479
May 01, 2020;7292969698
Apr 30, 2020;6619831683
Apr 29, 2020;7368218847
Apr 28, 2020;6920016613
Apr 27, 2020;6758326517
Apr 26, 2020;6653413645
Apr 25, 2020;6150118970
Apr 24, 2020;6008366131
Apr 23, 2020;5746163928
Apr 22, 2020;5040634852
Apr 21, 2020;4783257595
Apr 20, 2020;4638909211
Apr 19, 2020;4863041967
Apr 18, 2020;4960530370
Apr 17, 2020;4691964131
Apr 16, 2020;4674377249
